date,title,amount
2025-03-29,Liv Ctba Joinville,51.30
2025-03-29,Drogaria Catarinense,41.53
2025-03-29,Star 260 Shopping Mu,19.00
2025-03-29,Sabor Cultura,19.00
2025-03-29,Sabor Cultura,3.50
2025-03-28,Star 260 Shopping Mu,19.00
2025-03-28,Subway,18.50
2025-03-28,Pagamento recebido,-181.70
2025-03-27,Star 260 Shopping Mu,23.90
2025-03-27,Panificadora,33.00
2025-03-27,Sabor Cultura,17.00
2025-03-26,Sabor Cultura,18.00
2025-03-26,Sakae Mueller,18.00
2025-03-26,Sabor Cultura,7.00
2025-03-25,Pagamento recebido,-620.68
2025-03-25,Sakae Mueller,174.00
2025-03-25,Mdr Alimentos,22.00
2025-03-25,Liv Ctba Joinville,165.80
2025-03-23,99app *99app,17.90
2025-03-23,Star 260 Shopping Mu,38.00
2025-03-23,Bumerang Joinville,159.98
2025-03-22,99app *99app,18.10
2025-03-22,Sabor Cultura,16.50
2025-03-22,Sabor Cultura,14.50
2025-03-21,Pagamento recebido,-183.95
2025-03-21,Subway,18.50
2025-03-21,Sakae Mueller,18.00
2025-03-21,Sabor Cultura,8.00
2025-03-21,Paygo*Ultra Coffee Wes,24.45
2025-03-21,Sabor Cultura,8.00
2025-03-21,Espacolaser*Espacolase,830.04
2025-03-21,Drogaria Catarinense,57.90
2025-03-20,Sabor Cultura,8.00
2025-03-20,Pagamento recebido,-74.39
2025-03-20,Pagamento recebido,-830.04
2025-03-19,99app *99app,14.40
2025-03-19,Sabor Cultura,8.00
2025-03-19,Sabor Cultura,9.00
2025-03-19,Sakae Mueller,18.00
2025-03-18,99app *99app,9.00
2025-03-18,Rua Major Paladino,7.99
2025-03-17,Espacolaser*P6espacola,138.34
2025-03-16,99app *99app,28.80
2025-03-16,Pagamento recebido,-167.14
2025-03-14,Panificadorae,52.30
2025-03-13,Sabor Cultura,17.00
2025-03-13,Sabor Cultura,7.00
2025-03-13,99app *99app,21.10
2025-03-13,Pagamento recebido,-381.89
2025-03-12,Subway,18.50
2025-03-12,Rua Major Paladino,7.99
2025-03-11,Sabor Cultura,9.00
2025-03-08,Sabor Cultura,9.00
2025-03-08,Mdr Alimentos,21.00
2025-03-08,Drogaria Catarinense,7.90
2025-03-07,Sabor Cultura,10.00
2025-03-06,Pagamento recebido,-1074.43
2025-03-06,Pagamento recebido,-137.00
2025-03-01,Transtusa Turismo,50.00
2025-03-01,Sabor Cultura,7.00
2025-03-01,Sabor Cultura,9.00
2025-02-28,Transtusa Turismo,12.50
2025-02-27,Pichauinformatica - Parcela 4/8,251.10
2025-02-27,Sabor Cultura,8.50